DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_amp,$RhoA_antagonistic,perb,exp_name,delta,phenotype
0.489199,0.5025980000000001,0.428474,0.695314,0.511199,55.0,12.0,WT,Escape_Threshold_RhoA,0.26683999999999997,Hyper
0.5048,0.507801,0.434557,0.6941109999999999,0.49900100000000003,55.0,13.0,WT,Escape_Threshold_RhoA,0.2595539999999999,Hyper
0.5043989999999999,0.49779999999999996,0.401188,0.7181869999999999,0.5064,55.0,14.0,WT,Escape_Threshold_RhoA,0.3169989999999999,Hyper
0.5006,0.4994,0.787363,0.3204290000000001,,5.0,1.0,TJP1,Escape_Threshold_RhoA,-0.46693399999999996,Failed
0.5012,0.5032010000000001,0.724111,0.37415099999999996,,5.0,2.0,TJP1,Escape_Threshold_RhoA,-0.34996,Failed
0.5124,0.501,0.668694,0.40584800000000004,,5.0,3.0,TJP1,Escape_Threshold_RhoA,-0.26284599999999997,Failed
0.49460000000000004,0.5098,0.624377,0.430118,,5.0,4.0,TJP1,Escape_Threshold_RhoA,-0.19425899999999996,Normal
0.512801,0.5076,0.584451,0.45940299999999995,,5.0,5.0,TJP1,Escape_Threshold_RhoA,-0.1250480000000001,Normal
0.49759999999999993,0.5124,0.564873,0.483313,,5.0,6.0,TJP1,Escape_Threshold_RhoA,-0.08155999999999997,Normal
0.509601,0.5096,0.533587,0.5044569999999999,,5.0,7.0,TJP1,Escape_Threshold_RhoA,-0.0291300000000001,Normal
0.4864,0.49999999999999994,0.510362,0.52115,,5.0,8.0,TJP1,Escape_Threshold_RhoA,0.01078800000000002,Normal
0.49299800000000005,0.4914,0.46957100000000007,0.549258,,5.0,9.0,TJP1,Escape_Threshold_RhoA,0.07968699999999995,Normal
0.5017999999999999,0.5092,0.46384899999999996,0.5548709999999999,,5.0,10.0,TJP1,Escape_Threshold_RhoA,0.09102199999999994,Normal
0.4894,0.49739999999999995,0.4449409999999999,0.5681849999999999,,5.0,11.0,TJP1,Escape_Threshold_RhoA,0.12324400000000002,Normal
0.497201,0.49420200000000003,0.42635,0.5854379999999999,,5.0,12.0,TJP1,Escape_Threshold_RhoA,0.1590879999999999,Normal
0.500401,0.502602,0.432447,0.578114,,5.0,13.0,TJP1,Escape_Threshold_RhoA,0.145667,Normal
0.5034000000000001,0.4988,0.414798,0.588465,,5.0,14.0,TJP1,Escape_Threshold_RhoA,0.17366700000000002,Normal
0.49339999999999995,0.5036,0.8011019999999999,0.31081899999999996,,10.0,1.0,TJP1,Escape_Threshold_RhoA,-0.4902829999999999,Failed
0.49999799999999994,0.509598,0.727865,0.36177400000000004,,10.0,2.0,TJP1,Escape_Threshold_RhoA,-0.36609099999999994,Failed
0.489801,0.4832,0.6797560000000001,0.39402200000000004,,10.0,3.0,TJP1,Escape_Threshold_RhoA,-0.2857340000000001,Failed
0.5102,0.5018,0.6465920000000001,0.42745,,10.0,4.0,TJP1,Escape_Threshold_RhoA,-0.21914200000000006,Normal
0.48560099999999995,0.517201,0.605423,0.45741699999999996,,10.0,5.0,TJP1,Escape_Threshold_RhoA,-0.14800600000000008,Normal
0.492599,0.510199,0.571523,0.48037300000000005,,10.0,6.0,TJP1,Escape_Threshold_RhoA,-0.09114999999999995,Normal
0.5096,0.4895999999999999,0.560479,0.489123,,10.0,7.0,TJP1,Escape_Threshold_RhoA,-0.07135599999999998,Normal
0.499401,0.495601,0.533998,0.50192,,10.0,8.0,TJP1,Escape_Threshold_RhoA,-0.03207799999999994,Normal
0.49920000000000003,0.487,0.516162,0.518447,,10.0,9.0,TJP1,Escape_Threshold_RhoA,0.0022849999999999815,Normal
0.502401,0.5062000000000001,0.503163,0.513683,,10.0,10.0,TJP1,Escape_Threshold_RhoA,0.010519999999999974,Normal
0.505199,0.49079900000000004,0.48078399999999993,0.5418050000000001,,10.0,11.0,TJP1,Escape_Threshold_RhoA,0.06102100000000016,Normal
0.49020100000000005,0.511401,0.469299,0.549934,,10.0,12.0,TJP1,Escape_Threshold_RhoA,0.08063500000000001,Normal
0.5188,0.49540000000000006,0.47396000000000005,0.5485340000000001,,10.0,13.0,TJP1,Escape_Threshold_RhoA,0.07457400000000003,Normal
0.4993989999999999,0.49339900000000003,0.44159499999999996,0.565476,,10.0,14.0,TJP1,Escape_Threshold_RhoA,0.12388100000000002,Normal
0.4994,0.48099900000000007,0.805988,0.296156,,15.0,1.0,TJP1,Escape_Threshold_RhoA,-0.5098320000000001,Failed
0.5025999999999999,0.48899999999999993,0.748416,0.34707200000000005,,15.0,2.0,TJP1,Escape_Threshold_RhoA,-0.4013439999999999,Failed
0.49439900000000003,0.508601,0.6878420000000001,0.393904,,15.0,3.0,TJP1,Escape_Threshold_RhoA,-0.2939380000000001,Failed
0.4978,0.4954,0.6483620000000001,0.426548,,15.0,4.0,TJP1,Escape_Threshold_RhoA,-0.22181400000000012,Normal
0.503,0.5022000000000001,0.6137130000000001,0.445539,,15.0,5.0,TJP1,Escape_Threshold_RhoA,-0.16817400000000005,Normal
