DSP,JCAD,RhoA,RhoC,TJP1,$RhoC_amp,$RhoC_antagonistic,perb,exp_name,delta,phenotype
,0.49739999999999995,0.439258,0.6285109999999999,0.510801,15.0,5.0,DSP,Escape_Threshold_RhoC,0.18925299999999995,Normal
,0.507001,0.478835,0.581543,0.501001,15.0,6.0,DSP,Escape_Threshold_RhoC,0.10270800000000002,Normal
,0.503002,0.47578,0.575653,0.503401,15.0,7.0,DSP,Escape_Threshold_RhoC,0.09987299999999999,Normal
,0.4964,0.48437699999999995,0.5523870000000001,0.5132,15.0,8.0,DSP,Escape_Threshold_RhoC,0.06801000000000013,Normal
,0.5,0.49601000000000006,0.533706,0.49580100000000005,15.0,9.0,DSP,Escape_Threshold_RhoC,0.03769599999999995,Normal
,0.5012,0.514293,0.5146809999999999,0.495399,15.0,10.0,DSP,Escape_Threshold_RhoC,0.00038799999999994395,Normal
,0.494,0.536226,0.49323000000000006,0.491999,15.0,11.0,DSP,Escape_Threshold_RhoC,-0.04299599999999992,Normal
,0.491201,0.538941,0.487351,0.501,15.0,12.0,DSP,Escape_Threshold_RhoC,-0.051590000000000025,Normal
,0.49699899999999997,0.540424,0.47091700000000003,0.496999,15.0,13.0,DSP,Escape_Threshold_RhoC,-0.06950699999999999,Normal
,0.4942,0.560577,0.46686799999999995,0.5022,15.0,14.0,DSP,Escape_Threshold_RhoC,-0.09370900000000004,Normal
